familyName,givenName,middleName,profileText
Minor,Edward,Sloman,"A Representative from Wisconsin; born at Point Peninsula, Jefferson County, N.Y., December 13, 1840; moved to Wisconsin in 1845 with his parents, who settled in Greenfield, Milwaukee County, and subsequently in the city of Milwaukee; attended the common schools; went with his parents to a farm in Sheboygan County in 1852 and engaged in agricultural pursuits; completed a common-school education; enlisted as a private in Company G, Second Regiment, Wisconsin Volunteer Cavalry, in 1861; mustered out as first lieutenant in November 1865; engaged in the hardware business in Sturgeon Bay, Wis., 1865-1884; member of the Wisconsin assembly in 1877, 1881, and 1882; served in the State senate 1883-1886 and as president pro tempore of the senate during the last term; superintendent of the Sturgeon Bay and Lake Michigan Ship Canal 1884-1891; member of the Wisconsin Fish Commission for four years; mayor of Sturgeon Bay in 1894; elected as a Republican to the Fifty-fourth and to the five succeeding Congresses (March 4, 1895-March 3, 1907); chairman, Committee on Expenditures in the Department of the Interior (Fifty-eighth and Fifty-ninth Congresses); unsuccessful candidate for renomination in 1906; engaged in horticulture; postmaster of Sturgeon Bay 1911-1915; again mayor of Sturgeon Bay in 1918; died at Sturgeon Bay, Wis., July 26, 1924; interment in Bayside Cemetery."
Thompson,Philip,Burton,"A Representative from Kentucky; born in Harrodsburg, Mercer County, Ky., October 15, 1845; attended the common schools and the University of Kentucky at Lexington; during the Civil War entered the Confederate Army at the age of sixteen and served throughout the war; studied law; was admitted to the bar in 1866 and commenced practice in Harrodsburg; was city attorney of Harrodsburg 1867-1869; was appointed in 1869 and subsequently elected Commonwealth attorney for the thirteenth judicial district of Kentucky, serving until 1874; reelected in 1874 and served until 1878, when he resigned, having been elected to Congress; elected as a Democrat to the Forty-sixth, Forty-seventh, and Forty-eighth Congresses (March 4, 1879-March 3, 1885); chairman, Committee on Expenditures in the Department of War (Forty-eighth Congress); delegate to the Democratic National Convention in 1884; moved to New York City and resumed the practice of law; died in Washington, D.C., December 15, 1909; interment in Spring Hill Cemetery, Harrodsburg, Ky."
Crouch,Edward,,"A Representative from Pennsylvania; born at Walnut Hill, near Highspire, Paxtang Township, Lancaster (now Dauphin) County, Pa., on November 9, 1764; attended the common schools; at the age of seventeen enlisted during the Revolutionary War; commanded a company in the Whisky Insurrection of 1794; engaged in mercantile pursuits at Walnut Hill; member of the State house of representatives 1804-1806; appointed associate judge of Dauphin County April 16, 1813, but resigned upon election to Congress; elected as a Republican to the Thirteenth Congress to fill the vacancy caused by the resignation of John Gloninger and served from October 12, 1813, until March 3, 1815; was not a candidate for renomination; returned to Walnut Hill, Paxtang Township, Dauphin County, Pa., and resided there until his death, on February 2, 1827; interment in Paxtang Cemetery."
Monaghan,Joseph,Patrick,"A Representative from Montana; born in Butte, Mont., March 26, 1906; attended public and parochial schools; graduated from Mount St. Charles (Carroll College), Helena, Mont., in 1928; member of the State house of representatives 1929-1931; studied law at Montana State University at Missoula; was admitted to the bar in 1931 and commenced practice in Butte, Mont.; unsuccessful candidate for election in 1930 to the Seventy-second Congress; elected as a Democrat to the Seventy-third and Seventy-fourth Congresses (March 4, 1933-January 3, 1937); did not seek renomination in 1936, but was unsuccessful both as a candidate for the Democratic nomination for United States Senator and for election as an Independent candidate for the same office; resumed the practice of law; unsuccessful candidate for the Democratic nomination to the United States Senate in 1964; was a resident of Butte, Mont., until his death there on July 4, 1985; interment in Sunset Memorial Park."
Pickle,James,Jarrell,"A Representative from Texas; born in Big Spring, Howard County, Tex., October 11, 1913; educated in the public schools of Big Spring, Tex.; B.A., University of Texas, Austin, Tex., 1938; United States Navy, served three and a half years; area director, National Youth Administration, 1938-1941; radio business; public relations executive; director of Texas state Democratic executive committee, 1957-1960; member of Texas Employment Commission, 1961-1963; elected as a Democrat to the Eighty-eighth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Homer Thornberry, and reelected to the fifteen succeeding Congresses (December 21, 1963-January 3, 1995); not a candidate for reelection to the One Hundred Fourth Congress in 1994; died on June 18, 2005, in Austin, Tex."
Stewart,William,,"A Representative from Pennsylvania; born in Mercer, Mercer County, Pa., September 10, 1810; attended the public schools; was graduated from Jefferson College, Canonsburg, Pa.; studied law; was admitted to the bar and commenced practice in Mercer, Pa.; member of the State senate; elected as a Republican to the Thirty-fifth and Thirty-sixth Congresses (March 4, 1857-March 3, 1861); chairman, Committee on Expenditures in the Department of War (Thirty-sixth Congress); resumed the practice of law; died in Mercer, Pa., on October 17, 1876; interment in Mercer Cemetery."
Hoxworth,Stephen,Arnold,"A Representative from Illinois; born in Maquon Township, near Maquon, Knox County, Ill., May 1, 1860; attended the public schools; moved to Blue Springs, Gage County, Nebr., in 1880; engaged in banking and in the grain and implement business; member of the Nebraska State Militia; returned to Illinois in 1885 and engaged in agricultural pursuits near Rapatee, Knox County; served as supervisor of Maquon Township 1907-1912; elected as a Democrat to the Sixty-third Congress (March 4, 1913-March 3, 1915); was not a candidate for renomination in 1914; resumed agricultural pursuits; died in Rapatee, Ill., January 25, 1930; interment in Lyons Cemetery."
De Lano,Milton,,"A Representative from New York; born in Wampsville, Madison County, N.Y., August 11, 1844; attended the common schools; settled in Canastota, N.Y., and engaged in mercantile pursuits for eight years; town clerk of Lenox 1867-1869; sheriff of Madison County, N.Y., 1873-1875 and 1879-1881; engaged in banking, the real-estate business, and in the manufacture of window glass; member of the Canastota Board of Education 1883-1905 and served as president 1893-1905; aided in the organization of the Canastota Northern Railroad Co.; delegate to the Republican National Convention in 1884; elected as a Republican to the Fiftieth and Fifty-first Congresses (March 4, 1887-March 3, 1891); chairman, Committee on Pensions (Fifty-first Congress); declined to be a candidate for renomination in 1890; resumed banking; receiver of the Hudson River Power Co. 1908-1912; became president of the State Bank of Canastota, N.Y., in 1912; died in Syracuse, N.Y., January 2, 1922; interment in Mount Pleasant Cemetery, Canastota, N.Y."
Peyton,Balie,,"A Representative from Tennessee; born near Gallatin, Tenn., November 26, 1803; completed preparatory studies; studied law; was admitted to the bar and commenced practice in Gallatin in 1824; elected as a Jacksonian to the Twenty-third Congress and reelected as an Anti-Jacksonian to the Twenty-fourth Congress (March 4, 1833-March 3, 1837); resumed the practice of law; moved to New Orleans in 1841, having been appointed United States attorney for the eastern district of Louisiana, which position he held for four years; served as aide-de-camp on the staff of Gen. W. J. Worth during the Mexican War; appointed as Minister to Chile by President Taylor and served from August 9, 1849, to September 14, 1853, when he resigned; moved to San Francisco, Calif., in 1853 and continued the practice of law; prosecuting attorney of San Francisco 1853-1859; returned to Gallatin, Tenn., in 1859 and resumed the practice of law; presidential elector on the Constitutional-Union ticket of Bell and Everett in 1860; unsuccessful candidate for election in 1866 to the Fortieth Congress; member of the state senate, 1869-1871; resumed the practice of law; died on his farm near Gallatin, Sumner County, Tenn., August 18, 1878; interment in the family burying ground on his estate."
Bright,Jesse,David,"A Senator from Indiana; born in Norwich, Chenango County, N.Y., December 18, 1812; moved with his parents to Madison, Ind., in 1820; attended the public schools; studied law; admitted to the bar in 1831 and commenced practice in Madison, Jefferson County, Ind.; elected judge of the probate court of Jefferson County in 1834; United States marshal for the district of Indiana 1840-1841; member, State senate 1841-1843; lieutenant governor of Indiana 1843-1845; elected as a Democrat to the United States Senate in 1845; reelected in 1850 and 1856 and served from March 4, 1845, to February 5, 1862, when he was expelled for support of the rebellion; served as President pro tempore of the Senate during the Thirty-third, Thirty-fourth and Thirty-sixth Congresses; chairman, Committee on Enrolled Bills (Twenty-ninth Congress), Committee on Public Buildings (Twenty-ninth Congress), Committee on Revolutionary Claims (Thirtieth Congress), Committee on Roads and Canals (Thirty-first through Thirty third Congresses), Committee on Public Buildings and Grounds (Thirty-fifth and Thirty-sixth Congresses); unsuccessful candidate for election in 1863 to the United States Senate to fill the vacancy caused by his expulsion; moved to Carrollton, Ky., in 1863 and then to Covington, Ky.; member, State house of representatives 1866; president of the Raymond City Coal Co., 1871-1875; moved to Baltimore in 1874; died in Baltimore, Md., May 20, 1875; interment in Greenmount Cemetery."
Caldwell,Joseph,Pearson,"A Representative from North Carolina; born near Olin, Iredell County, N.C., March 5, 1808; attended Bethany Academy, near Statesville, N.C.; studied law; was admitted to the bar and commenced practice in Statesville, N.C.; served in the State senate in 1833 and 1834; member of the State house of commons 1838-1844; elected as a Whig to the Thirty-first and Thirty-second Congresses (March 4, 1849-March 3, 1853); was not a candidate for renomination in 1852; died in Statesville, N.C., June 30, 1853; interment in Old Statesville Cemetery."
Skubitz,Joe,,"A Representative from Kansas; born in Frontenac, Crawford County, Kans., May 6, 1906; attended grade school in Ringo, Kans., and high schools in Girard and Frontenac, Kans.; Kansas State College, Pittsburgh, Kans., B.S., 1929 and M.S., 1934; attended law school at Washburn University, Topeka, Kans., in 1938, and graduated from the law school of George Washington University, Washington, D.C., LL.B., 1944; was admitted to the bar in 1944 and commenced practice in Kansas and the District of Columbia; administrative assistant to Senator Clyde M. Reed, 1939-1949; and Senator Andrew F. Schoeppel, 1949-1962; delegate, Republican National Convention, 1960; elected as a Republican to the Eighty-eighth and to the seven succeeding Congresses and served from January 3, 1963, until his resignation December 31, 1978; was not a candidate for reelection in 1978 to the Ninety-sixth Congress; died in Wichita, Kans., on September 11, 2000; interment at Old Mission Cemetery, Wichita, Kans."
Henry,William,,"A Representative from Vermont; born in Charlestown, N.H., March 22, 1788; attended the common schools; engaged in business in Chester, Vt., and later engaged in manufacturing in Vermont, New York, and Jaffery, N.H.; moved to Bellows Falls, Vt., in 1831; engaged in banking; member of the State house of representatives in 1834 and 1835; served in the State senate in 1836; a director of the Rutland &amp; Burlington Railroad Co.; delegate to the Whig National Convention at Harrisburg, Pa., in 1839; elected as a Whig to the Thirtieth and Thirty-first Congresses (March 4, 1847-March 3, 1851); unsuccessful candidate for election in 1852 to the Thirty-third Congress; resumed banking; presidential elector on the Republican ticket in 1860; died in Bellows Falls, Vt., April 16, 1861; interment in South Street Cemetery, Chester, Vt."
Vance,Robert,Brank,"(Nephew of Robert Brank Vance [1793-1827] and brother of Zebulon Baird Vance), a Representative from North Carolina; born on Reems Creek, near Asheville, Buncombe County, N.C., April 24, 1828; attended the common schools; engaged in mercantile and agricultural pursuits; clerk of the court of pleas and quarter sessions 1848-1856; during the Civil War was elected captain of a company in the Confederate Army; twice elected colonel of the Twenty-ninth North Carolina Regiment; appointed brigadier general in 1863; elected as a Democrat to the Forty-third and to the five succeeding Congresses (March 4, 1873-March 3, 1885); chairman, Committee on Patents (Forty-fourth through Forty-sixth and Forty-eighth Congresses); unsuccessful candidate for renomination in 1884 to the Forty-ninth Congress; United States Assistant Commissioner of Patents from April 11, 1885, to April 4, 1889, when he resigned; returned to North Carolina and settled in Alexander; member of the State house of representatives 1894-1896; died in Alexander, near Asheville, N.C., November 28, 1899; interment in Riverside Cemetery, Asheville, N.C."
Williams,William,Elza,"A Representative from Illinois; born near Detroit, Pike County, Ill., May 5, 1857; attended the public schools and Illinois College, Jacksonville, Ill.; studied law; was admitted to the bar in 1880 and practiced in Detroit and Pittsfield, Ill.; State's attorney of Pike County 1886-1892; member of the board of aldermen of Pittsfield; member of the board of education; became trial lawyer for the City Railway Co. of Chicago in 1903; elected as a Democrat to the Fifty-sixth Congress (March 4, 1899-March 3, 1901); resumed the practice of law in Pittsfield, Ill.; elected to the Sixty-third and Sixty-fourth Congresses (March 4, 1913-March 3, 1917); unsuccessful candidate for reelection in 1916 to the Sixty-fifth Congress and for election in 1918 to the Sixty-sixth Congress; continued the practice of law until his death in Pittsfield, Ill., September 13, 1921; interment in Pittsfield West Cemetery."
Scott,William,Lawrence,"A Representative from Pennsylvania; born in Washington, D.C., July 2, 1828; attended the common schools and Hampden-Sidney Academy in Virginia; page in the House of Representatives 1840-1846; moved to Erie, Pa., in 1846 and was employed as a shipping clerk until 1850; was subsequently engaged in shipping, coal mining, iron manufacturing, banking, and railroad construction; had extensive land holdings and was interested in the raising of cattle; mayor of Erie in 1866 and again in 1871; unsuccessful candidate for election in 1866 to the Fortieth Congress and in 1876 to the Forty-fifth Congress; elected a member of the Democratic National Committee in 1876, 1880, and 1884; delegate to the Democratic National Conventions in 1876, 1880, and 1888; elected as a Democrat to the Forty-ninth and Fiftieth Congresses (March 4, 1885-March 3, 1889); chairman, Committee on Expenditures in the Department of the Navy (Fiftieth Congress); was renominated in 1888 and again in 1890 but each time declined to be a candidate because of the condition of his health; director in a number of railroad companies and president of the Erie &amp; Pittsburgh Railroad at the time of his death in Newport, R.I., September 19, 1891; interment in Erie Cemetery, Erie, Pa."
Bloomfield,Joseph,,"A Representative from New Jersey; born in Woodbridge, Middlesex County, N.J., October 18, 1753; educated at Rev. Enoch Green's school in Deerfield, N.J.; studied law; was admitted to the bar in 1775 and commenced practice in Bridgeton, N.J.; entered the Revolutionary Army as captain of the Third New Jersey Regiment on February 9, 1776; attained the rank of major; resumed the practice of law in Burlington, N.J.; registrar of the admiralty court 1779-1783; State attorney general from 1783 to 1792, when he resigned; trustee of Princeton College from 1793 until his resignation in 1801; Governor of New Jersey 1801-1812; commissioned brigadier general on March 13, 1812, and served until June 15, 1815; elected as a Republican to the Fifteenth Congress and reelected to the Sixteenth Congress (March 4, 1817-March 3, 1821); unsuccessful candidate for reelection to the Seventeenth Congress; died in Burlington, Burlington County, N.J., October 3, 1823; interment in St. Mary's Episcopal Churchyard."
Reed,Joseph,,"A Delegate from Pennsylvania; was born in Trenton, N.J., August 27, 1741; attended Philadelphia Academy; was graduated from the College of New Jersey (now Princeton University) in 1757; studied law; was admitted to the bar in 1762; was a law student in the Temple in London; returned in 1767 and commenced practice in Trenton, N.J.; moved to Philadelphia, Pa., in October 1770; member of the committee of correspondence in 1774; president of the Pennsylvania convention in January 1775; accompanied General Washington to Cambridge as his aide-de-camp and military secretary in July 1775; served during the campaign of 1776 as adjutant general of the Army from June 5, 1776, to January 22, 1777; Member of the Continental Congress in 1778; president of the supreme executive council of Pennsylvania 1778-1781; trustee of the University of Pennsylvania, 1782-1785; died in Philadelphia March 5, 1785; interment in the Arch Street Presbyterian Church Cemetery."
Samford,William,James,"A Representative from Alabama; born in Greenville, Meriwether County, Ga., September 16, 1844; moved in early childhood with his parents to Chambers County, Ala.; attended a private school in Auburn, Ala., and the University of Georgia at Athens in 1860; enlisted in the Confederate Army in 1862 as a private in the Forty-sixth Alabama Regiment; promoted to first lieutenant and was in command of a company at the close of the war; studied law; was admitted to the bar in 1867 and commenced practice in Opelika, Lee County, Ala., in 1867; delegate to the State constitutional convention in 1875; elected as a Democrat to the Forty-sixth Congress (March 4, 1879-March 3, 1881); was not a candidate for renomination in 1880; again resumed the practice of his profession; member of the State house of representatives in 1882; served in the State senate 1884-1886 and in 1892 and was its president in 1886; Governor of Alabama in 1900 and 1901; president of the board of trustees of the University of Alabama; died in Tuscaloosa, Ala., June 11, 1901; interment in Rosemere Cemetery, Opelika, Ala."
Hansen,Clifford,Peter,"A Senator from Wyoming; born in Zenith, Teton (then Lincoln) County, Wyo., October 16, 1912; attended the public schools of Jackson, Wyo.; graduated from the University of Wyoming in 1934; member, University of Wyoming Board of Trustees 1946-1966, serving as president 1955-1962; engaged in cattle ranching; officer of the Wyoming Stock Growers Association, the American National Cattlemen's Association, and the Livestock Research and Marketing Advisory Committee; Columbia Interstate Compact commissioner; Snake River Compact commissioner; Teton County commissioner 1943-1951; Governor of Wyoming 1963-1967; elected as a Republican to the United States Senate in 1966; reelected in 1972, and served from January 3, 1967, until his resignation December 31, 1978; served on the board of several financial and civic organizations; was a resident of Jackson, Wyo., until his death on October 20, 2009; remains cremated and interred at St. John's Episcopal Church, Jackson, Wyo."
Rea,John,,"A Representative from Pennsylvania; born at ``Rea's Mansion,'' near Chambersburg, Pa., January 27, 1755; completed preparatory studies; served as lieutenant and captain with the Cumberland County (Pa.) Militia during the Revolutionary War; commissioned the first coroner of Franklin County, Pa., on October 20, 1784; member of the State house of representatives in 1785, 1786, 1789, 1790, 1792, 1793, 1801, and 1802; county auditor in 1793 and 1794; elected as a Republican to the Eighth and to the three succeeding Congresses (March 4, 1803-March 3, 1811); was an unsuccessful candidate for reelection in 1810 to the Twelfth Congress; served in the War of 1812 as major general of the Eleventh Division of Militia; elected to the Thirteenth Congress to fill the vacancy caused by the death of Robert Whitehill and served from May 11, 1813, to March 3, 1815; member of the State senate in 1823 and 1824, when he resigned; died in Chambersburg, Franklin County, Pa., February 26, 1829; interment in Rocky Spring Churchyard, near Chambersburg, Pa."
Clarke,Marian,Williams,"A Representative from New York; born at Standing Stone, Bradford County, Pa., July 29, 1880; moved with her parents to Cheyenne, Wyo., in 1881; attended the public schools and spent one year in the art school of the University of Nebraska at Lincoln; was graduated from Colorado College at Colorado Springs in 1902; resided in seven different States from 1881 to 1918; moved to Delaware County, N.Y., in 1918 and settled on a farm near Fraser; elected as a Republican to the Seventy-third Congress to fill the vacancy caused by the death of her husband, John Davenport Clarke, and served from December 28, 1933, to January 3, 1935; was a candidate for renomination in 1934 to the Seventy-fourth Congress, but withdrew her name before the primary election; returned to her farm, ``Arbor Hill,'' near Delhi, N.Y., where she resided until 1950; died in Cooperstown, N.Y., April 8, 1953; interment in Locust Hill Cemetery, Hobart, N.Y."
Walworth,Reuben,Hyde,"A Representative from New York; born in Bozrah, Conn., October 26, 1788; moved to New York with his parents, who settled on a farm near Hoosick in 1796; attended the common schools; taught school; studied law; was admitted to the bar in 1809 and commenced practice in Plattsburgh in 1810; master in chancery and circuit judge in 1811; served in the War of 1812; aide-de-camp to Gen. Benjamin Mooers and division judge advocate with rank of colonel; elected to the Seventeenth Congress (March 4, 1821-March 3, 1823); was not a candidate for renomination in 1822; judge of the fourth judicial district of New York 1823-1828; moved to Saratoga Springs, Saratoga County, N.Y., in October 1828; chancellor of the State of New York from 1828 to 1848, when the office of chancellor was abolished; unsuccessful candidate for election as Governor in 1848; appointed as an Associate Justice of the United States Supreme Court by President Tyler in 1844, but was not confirmed by the Senate; died in Saratoga Springs, N.Y., November 27, 1867; interment in Greenridge Cemetery."
Ross,Michael,Avery,"A Representative from Arkansas; born in Texarkana, Miller County, Ark., on August 2, 1961; graduated from Hope High School, Hope, Ark.; B.A., University of Arkansas, Little Rock, Ark., 1987; businessman; staff, office of Lt. Governor of Arkansas, 1985-1989; member of the Arkansas state senate, 1991-2000; elected as a Democrat to the One Hundred Seventh and to the five succeeding Congresses (January 3, 2001-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012."
Young,Todd,,"A Senator and a Representative from Indiana; born in Lancaster, Lancaster County, Pa., August 24, 1972; graduated from Carmel High School, Carmel, Ind., 1990; B.S., United States Naval Academy, Annapolis, Md., 1995; M.B.A., University of Chicago, Chicago, Ill., 2000; M.A., University of London, London, England, 2001; J.D., Robert H. McKinney School of Law, Indiana University, Indianapolis, Ind., 2006; United States Navy, 1990-1991; United States Marine Corps, 1995-2000; staff, United States Senator Richard Lugar of Indiana, 2001-2003; Orange County, Ind., assistant deputy prosecutor, 2007-2010; consultant; lawyer, private practice; elected as a Republican to the One Hundred Twelfth and to the two succeeding Congresses (January 3, 2011-January 3, 2017); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2016; reelected in 2022 for the term ending January 3, 2029; chair, National Republican Senatorial Committee (2019-2020)."
Barclay,David,,"A Representative from Pennsylvania; born in Punxsutawney, Jefferson County, Pa., in 1823; attended Washington (now Washington and Jefferson) College, Washington, Pa.; studied law in Pittsburgh; was admitted to the bar and practiced in Punxsutawney, Brookville, and Kittanning, Pa.; one of the editors and publishers of the Pittsburgh Union and Legal Journal 1850-1855; while a resident of Brookville was elected as a Democrat to the Thirty-fourth Congress (March 4, 1855-March 3, 1857); resumed the practice of law; died in Freeport, Armstrong County, Pa., September 10, 1889; interment in Freeport Cemetery."
Gard,Warren,,"A Representative from Ohio; born in Hamilton, Butler County, Ohio, July 2, 1873; attended the public schools and was graduated from the Cincinnati Law School in 1894; was admitted to the bar in 1894 and commenced practice in Hamilton, Ohio; prosecuting attorney of Butler County 1898-1903; judge of the court of common pleas 1907-1912; elected as a Democrat to the Sixty-third and to the three succeeding Congresses (March 4, 1913-March 3, 1921); was not a candidate for renomination in 1920; resumed the practice of law in Hamilton, Ohio, where he died November 1, 1929; interment in Greenwood Cemetery."
Bethune,Lauchlin,,"A Representative from North Carolina; born near Fayetteville, Cumberland County, N.C., April 15, 1785; attended private schools and Lumberton (N.C.) Male Academy; engaged in agricultural pursuits; member of the State senate in 1817, 1818, 1822-1825, and 1827; elected as a Jacksonian to the Twenty-second Congress (March 4, 1831-March 3, 1833); unsuccessful candidate for reelection to the Twenty-third, Twenty-fourth, and Twenty-fifth Congresses; returned to his plantation near Fayetteville, N.C., and continued agricultural pursuits until his death on October 10, 1874; interment in the Presbyterian Cemetery, Aberdeen, Moore County, N.C."
Clay,William,Lacy,"(Father of William Lacy Clay, Jr.), a Representative from Missouri; born in St. Louis, St. Louis County, Mo., April 30, 1931; B.S., St. Louis University, 1953; United States Army, 1953-1955; real estate broker; manager, life insurance company, 1959-1961; alderman, St. Louis, Mo., 1959-1964; business representative, city employees union, 1961-1964; education coordinator, Steamfitters Local No. 562, 1966-1967; elected as a Democrat to the Ninety-first and to the fifteen succeeding Congresses (January 3, 1969-January 3, 2001); chairman, Committee on the Post Office and Civil Service (One Hundred Second and One Hundred Third Congresses); was not a candidate for reelection to the One Hundred Seventh Congress."
Rariden,James,,"A Representative from Indiana; born near Cynthiana, Harrison County, Ky., February 14, 1795; received a limited schooling; moved to Brookville, Ind., and thence to Salisbury; deputy clerk of court; studied law; was admitted to the bar in 1818 and began practice in Centerville, Ind., in 1820; prosecuting attorney 1822-1825; served in the State senate in 1823; member of the State house of representatives in 1829, 1830, 1832, and 1833; elected as a Whig to the Twenty-fifth and Twenty-sixth Congresses (March 4, 1837-March 3, 1841); moved to Cambridge City, Ind., in 1846; delegate to the State constitutional convention in 1850; died in Cambridge City, Wayne County, Ind., October 20, 1856; interment in Riverside Cemetery."
Carpenter,Terry,McGovern,"A Representative from Nebraska; born in Cedar Rapids, Linn County, Iowa, March 28, 1900; attended the public schools of Cedar Rapids; moved to Scottsbluff, Nebr., in 1916 and was employed in various positions with a railroad company; was engaged in the wholesale candy and tobacco business in 1922 and 1923; moved to Long Beach, Calif., in 1923 and was employed as manager of the municipal gas and water department; returned to Scottsbluff, Nebr., in 1927 and worked in the garage business and the retail coal business; unsuccessful candidate for mayor in 1931; elected as a Democrat to the Seventy-third Congress (March 4, 1933-January 3, 1935); was not a candidate for renomination in 1934 to the Seventy-fourth Congress; unsuccessful candidate for nomination for Governor in 1934, for election to the United States Senate in 1936, for election for Lieutenant Governor in 1938, for election for Governor in 1940, for nomination to the United States Senate in 1942, for election to the United States Senate in 1948, for nomination for Governor in 1950, for nomination to the United States Senate in 1954, for nomination for Governor in 1960, for nomination to the United States Senate in 1972, and for Lieutenant Governor in 1974; major, United States Air Corps, 1942-1945; changed political affiliation five times; delegate to the Republican National Convention in 1956; served in the State legislature in 1953, 1957-1959, 1963-1974; engaged in operating Terry Carpenter, Inc., in Terrytown, Nebr.; resided in Scottsbluff, Nebr., where he died April 27, 1978; interment in Fairview Cemetery."
Helstoski,Henry,,"A Representative from New Jersey; born in Wallington, Bergen County, N.J., March 21, 1925; attended the Wallington and Rutherford schools; served in the United States Army Air Corps as instructor and radio technician, 1943-1945; attended Paterson State College and graduated from Montclair State Teachers College, B.A., 1947, and M.A., 1949; teacher, high school principal, and superintendent of schools in Bergen County, N.J., 1949-1962; served as councilman of East Rutherford, N.J., in 1956, and as mayor 1957-1965; management consultant in advertising, 1962-1964; elected as a Democrat to the Eighty-ninth and to the five succeeding Congresses (January 3, 1965-January 3, 1977); unsuccessful candidate for reelection as an independent to the Ninety-fifth Congress; unsuccessful candidate for election as an independent in 1978 to the Ninety-sixth Congress and as a Democrat for nomination in 1980 to the Ninety-seventh Congress; superintendent, North Bergen schools, 1981-1985; engaged as a public relations consultant; was a resident of East Rutherford, N.J., until his death in Wayne, N.J., on December 16, 1999."
Smith,George,,"A Representative from Pennsylvania; birth date unknown; elected as a Republican to the Eleventh and Twelfth Congresses (March 4, 1809-March 3, 1813); death date unknown."
Green,Theodore,Francis,"(Grandnephew of Samuel Greene Arnold, great-grandnephew of Tristam Burges, great-grandson of James Burrill, Jr., great-great-grandson of Jonathan Arnold, and great-great-nephew of Lemuel Hastings Arnold), a Senator from Rhode Island; born in Providence, R.I., October 2, 1867; attended private and public schools; graduated from Brown University, Providence, R.I., in 1887; attended Harvard University Law School and the Universities of Bonn and Berlin in Germany; admitted to the bar in 1892 and commenced practice in Providence, R.I.; instructor in Roman law at Brown University, Providence, R.I., 1894-1897; received a commission as lieutenant during the Spanish-American War; chairman of the city plan commission of Providence 1917-1919; member, State house of representatives 1907; unsuccessful Democratic candidate for Governor in 1912 and 1930; unsuccessful candidate for election in 1918 to the Sixty-sixth Congress; Governor of Rhode Island 1933-1936; financially interested in numerous corporations and business enterprises and served as officer and director; elected as a Democrat to the United States Senate in 1936, 1942, 1948, and again in 1954 and served from January 3, 1937, to January 3, 1961; was not a candidate for renomination in 1960; chairman, Committee on Privileges and Elections (Seventy-seventh through Seventy-ninth Congresses), co-chairman, Joint Committee on the Library (Eighty-first and Eighty-second Congresses), chairman, Joint Committee on the Library (Eighty-fourth through Eighty-sixth Congresses), Committee on Rules and Administration (Eighty-fourth Congress), Committee on Foreign Relations (Eighty-fifth and Eighty-sixth Congresses); was ninety-three when he retired, and at the time, the oldest man to serve in Congress; died in Providence, R.I., May 19, 1966; interment in Swan Point Cemetery."
Rose,Charles,Grandison,"A Representative from North Carolina; born in Fayetteville, Cumberland County, N.C., August 10, 1939; attended the public schools; A.B., Davidson (N.C.) College, 1961; LL.B., University of North Carolina Law School, Chapel Hill, 1964; admitted to the North Carolina bar in 1964 and commenced practice in Raleigh; chief district court prosecutor for the Twelfth Judicial District, 1967-1970; elected as a Democrat to the Ninety-third and to the eleven succeeding Congresses (January 3, 1973-January 3, 1997); chairman, Joint Committee on Printing (One Hundred Second Congress), Committee on House Administration (One Hundred Second and One Hundred Third Congresses); was not a candidate for reelection to the One Hundred Fifth Congress; died on September 3, 2012, in Albertville, Ala."
Baker,Robert,,"A Representative from New York; born at Bury St. Edmunds, England, in April 1862; attended the common schools; immigrated to the United States in 1882 and settled in Albany, N.Y.; moved to Brooklyn, N.Y., in 1889; unsuccessful candidate for election to the State assembly in 1894; auditor of New York City in 1902; elected as a Democrat to the Fifty-eighth Congress (March 4, 1903-March 3, 1905); unsuccessful candidate for reelection in 1904 to the Fifty-ninth Congress and for election in 1906 to the Sixtieth Congress; became secretary of the New York City Department of Docks and Ferries in 1906; engaged in stone paving and in the general real-estate business in Brooklyn, N.Y., until his death there on June 15, 1943; interment in Evergreen Cemetery."
Hale,Nathan,Wesley,"A Representative from Tennessee; born near Gate City, Scott County, Va., February 11, 1860; attended the common schools of Nicholasville, Va., and Kingsley Academy near Kingsport, Tenn.; taught school at Hale's Mill, Va., in 1876; moved to Knoxville, Tenn., in 1878 and engaged in the nursery business; also engaged in the wholesale dry goods business, banking, and farming; member of the State house of representatives, 1891-1893; served in the State senate, 1893-1895; unsuccessful candidate for the Republican nomination in 1902 as a Representative to the Fifty-eighth Congress; elected as a Republican to the Fifty-ninth and Sixtieth Congresses (March 4, 1905-March 3, 1909); unsuccessful candidate for reelection in 1908 to the Sixty-first Congress; delegate to the Republican National Convention in 1908; member of the Republican National Committee 1908-1912; moved to Los Angeles, Calif., in 1909 and engaged in the oil and real estate business until his death in Alhambra, Calif., September 16, 1941; interment in Rose Hills Memorial Park, Whittier, Calif."
