id,start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,fips1,error1,fips2,error2,fips3,error3,fips4,error4,fips5,error5,fips6,error6,fips7,error7,fips8,error8,fips9,error9,fips10,error10,fips11,error11,fips12,error12,fips13,error13,fips14,error14
T000460,1951,1965,"St. Helena, Napa County, Calif.",1965,1969,"St. Helena, Calif.",1969.0,1972.0,(United States Army),1972,1982,"Chico, Calif.",1982.0,1996,"Chico, Calif.",1990,1998,(California state senate),1999,present,(Congress),,,,,,,,,,,,,,,,,,,,,,06055,,06055,,,Not a location,06007,,06007,,,Not a location,,Not a location,,,,,,,,,,,,,,
N000179,1936,1950,"Brownsville, Cameron County, Tex.",1950,1954,"Brownsville, Tex.",1954.0,1956.0,"Norwalk, Calif.",1956,1958,"Brownsville, Tex.",1986.0,1990,"Norwalk, Calif.",1992,1998,(California state assembly),1999,present,(Congress),,,,,,,,,,,,,,,,,,,,,,48061,,48061,,06037,,48061,,06037,,,Not a location,,Not a location,,,,,,,,,,,,,,
M001139,1948,1964,"Huntsville, Madison County, Ark.",1964,1967,"Whittier, Calif.",1967.0,1967.0,(United States Army),1967,1988,"La Habra, Calif.",1988.0,1992,"Diamond Bar, Calif.",1992,1995,"Diamond Bar, Calif.",1995,1999,(California state assembly),1999,2015,(Congress),,,,,,,,,,,,,,,,,,,,More than one matched place from Google,06037,,,Not a location,06059,,06037,,06037,,,Not a location,,Not a location,,,,,,,,,,,,
U000038,1950,1964,"Tucson, Pima County, Ariz.",1964,1968,"Tucson, Ariz.",1968.0,1972.0,"Williamstown, Mass.",1974,,"(field coordinator, Morris K. Udall for President)",1985.0,1995,"(executive director, Colorado Outward Bound School)",1996,1998,(member of the Colorado state house of representatives),1999,2009,(Congress),2009,2015,(United States Senate),,,,,,,,,,,,,,,,,,,04019,,04019,,,More than one matched place from Google,,Not a location,08031,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
T000458,1945,1960,"Denver, Denver County, Colo.",1960,1964,"Broomfield, Colo.",1964.0,1968.0,"Greeley, Colo.",1976,1981,(Colorado state legislature),1981.0,1992,(Secretary of Education Regional Representative),1999,2009,(Congress),2010,,(American Constitution Party candidate for governor of Colorado),2014,,(Nominee for governor of Colorado),,,,,,,,,,,,,,,,,,,08031,,08014,,08123,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
L000557,1948,1963,"Hartford, Hartford County, Conn.",1963,1967,"Hartford, Conn.",1967.0,1971.0,"New Britain, Conn.",1977,1979,"East Hartford, Conn.",1979.0,1983,"East Hartford, Conn.",1983,1986,"New Haven, Conn.",1986,1998,(Connecticut state senate),1999,present,(Congress),,,,,,,,,,,,,,,,,,,09003,,09003,,09003,,09003,,09003,,09009,,,Not a location,,Not a location,,,,,,,,,,,,
S001148,1950,1964,"Burley, Cassia County, Idaho",1964,1968,"Blackfoot, Idaho",1968.0,1972.0,"Logan, Utah",1972,1978,"St. Louis, Mo.",1984.0,1998,(Idaho state house of representatives),1999,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,16031,,16011,,49005,,29510,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
S001145,1944,1961,"Chicago, Cook County, Ill.",1961,1965,"Urbana-Champaign, Ill.",1985.0,1990.0,"(director, Illinois State Council of Senior Citizens)",1990,1998,(member of the Illinois state house of representatives),1999.0,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,17031,,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
B001232,1937,1955,"Chicago, Cook County, Ill.",1955,1959,"Stanford, Calif.",1959.0,1963.0,"Evanston, Ill.",1963,1964,"(clerk to Judge Luther M. Swygert, U.S. Court of Appeals, 7th Circuit)",1983.0,1986,"Hinsdale Township, Ill.",1993,1998,(Illinois state house of representatives),1999,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,17031,,06085,,17031,,,Not a location,17043,,,Not a location,,Not a location,,,,,,,,,,,,,,
M001140,1945,1963,"Anthony, Harper County, Kans.",1963,1967,"Lawrence, Kans.",1967.0,1970.0,"Topeka, Kans.",1970,1973,(United States Army Reserve),1971.0,1973,(Kansas state assistant attorney general),1977,1989,"Johnson County, Kans.",1993,1999,"Johnson County, Kans.",1999,2011,(Congress),2011,2021,"Overland Park, Kans.",,,,,,,,,,,,,,,,20077,,20045,,20177,,,Not a location,,Not a location,20091,,20091,,,Not a location,20091,,,,,,,,,,,
C001037,1952,1965,"Somerville, Middlesex County, Mass.",1965,1969,"Somerville, Mass.",1969.0,1973.0,"Hanover, N.H.",1973,1977,"Chestnut Hill, Mass.",1977.0,1979,"Somerville, Mass.",1978,1984,"(chief legal counsel, joint committee on taxation, Massachusetts state legislature)",1985,1989,"Somerville, Mass.",1990,1998,"Somerville, Mass. (Mayor)",1999,2019,(Congress),,,,,,,,,,,,,,,,25017,,25017,,33009,,25017,,25017,,,Not a location,25017,,,Not a location,,Not a location,,,,,,,,,,
T000459,1962,1976,"Omaha, Douglas County, Nebr.",1976,1980,"Omaha, Nebr.",1980.0,1984.0,"Lincoln, Nebr.",1984,1987,"Omaha, Nebr.",1991.0,1998,"Omaha, Nebr. (city council)",1999,2015,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,31055,,31055,,31109,,31055,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
B001231,1951,1965,"New York, N.Y.",1965,1968,"Las Vegas, Nev.",1968.0,1972.0,"Las Vegas, Nev.",1972,1976,"San Diego, Calif.",1983.0,1985,(Nevada state assembly),1990,1998,(Nevada University and Community College System Board of Regents),1999,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,36061,,32003,,32003,,06073,,,Not a location,32031,,,Not a location,,,,,,,,,,,,,,
H001032,1948,1962,"Weston, Lewis County, W. Va.",1962,1966,"Bethesda, Md.",1966.0,1970.0,"Northfield, Minn.",1970,1974,"New York, N.Y.",1974.0,1981,"New York, N.Y.",1982,1983,"(Congressional Science Fellow with United States House of Representatives, Office of Representative Bob Edgar of Pennsylvania)",1980,1988,"Swarthmore, Pa.",1987,1989,"(Nuclear and Scientific Division, Office of Strategic Forces, United States Department of State)",1989,1997,(Princeton Plasma Physics Laboratory),1999,2015,(Congress),,,,,,,,,,,,,54041,,24031,,27131,,36061,,36061,,,Not a location,42045,,,Not a location,,Not a location,,Not a location,,,,,,,,
U000039,1948,1966,"Tucson, Pima County, Ariz.",1966,1970,"Prescott, Ariz.",1970.0,1975.0,England,1975,1977,"Albuquerque, N.M.",1978.0,1981,"(Assistant United States Attorney for the District of New Mexico, criminal division)",1990,1998,"(Attorney General, State of New Mexico)",1999,2009,(Congress),2009,2021,(Senate),,,,,,,,,,,,,,,,,,,04019,,04025,,,No county matched to string from Google,35001,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
C001038,1962,1977,"New York, New York County, N.Y.",1977,1981,"New York, N.Y.",1981.0,1985.0,"Flushing, N.Y.",1986,1998,(New York state assembly),1999.0,2019,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,36061,,36061,,36081,,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
W000792,1964,1980,"New York City, N.Y.",1980,1981,"Brooklyn, N.Y.",1981.0,1985.0,"Plattsburgh, N.Y.",1985,1991,(staff for United States Representative Charles Schumer of New York),1992.0,1998,"New York, N.Y.",1999,2011,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,36061,,36047,,36019,,,Not a location,36061,,,Not a location,,,,,,,,,,,,,,,,
S001149,1955,1977,"Troy, Rensselaer County, N.Y.",1977,1981,"Troy, N.Y.",1986.0,1990.0,"Springfield, Mass.",1999,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36083,,36083,,25013,,,Not a location,,,,,,,,,,,,,,,,,,,,
R000569,1950,1966,"Belfonte, Centre County, Pa.",1966,1970,"Springville, N.Y.",1970.0,1974.0,"Kent, Ohio",1974,1982,"Concord, N.Y.",1982.0,1988,"Erie County, N.Y.",1988,1998,(New York state assembly),1999,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,42027,,36029,,39133,,36029,,36029,,,Not a location,,Not a location,,,,,,,,,,,,,,
H001029,1945,1963,"Concord, Cabarrus County, N.C.",1963,1967,"Durham, N.C.",1978.0,1992.0,"Concord, N.C.",1992,1996,(North Carolina state house of representatives),1999.0,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,37025,,37063,,37025,,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
J000284,1949,1965,"Cleveland, Cuyahoga County, Ohio",1965,1971,"Cleveland, Ohio",1971.0,1974.0,"Cleveland, Ohio",1981,1983,"Cleveland, Ohio",1983.0,1991,"Cuyahoga County, Ohio",1991,1998,"Cuyahoga County, Ohio",1999,2008,(Congress),2008,,"Cleveland, Ohio",,,,,,,,,,,,,,,,,,,39035,,39035,,39035,,39035,,39035,,39035,,,Not a location,39035,,,,,,,,,,,,,
W000793,1955,1973,Taiwan,1973,1977,"Stanford, Calif.",1977.0,1980.0,"Cambridge, Mass.",1980,1982,"New Haven, Conn.",1982.0,1999,(private practice),1999,2011,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,No county matched to string from Google,06085,,25017,,09009,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
W000791,1957,1975,"The Dalles, Wasco County, Ore.",1975,1981,"Eugene, Ore.",1989.0,1995.0,(Oregon state house of representatives),1995,1997,(Oregon state senate),1999.0,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,41065,,41039,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
S001146,1941,1955,"Nicholson, Wyoming County, Pa.",1955,1959,(attended Lackawanna Trail High School and Wyoming Seminary Preparatory School),1959.0,1963.0,"Hanover, N.H.",1963,1965,(United States Army),1975.0,1998,"Tunkhannock Area, Pa.",1999,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,More than one matched place from Google,,More than one matched place from Google,33009,,,Not a location,42131,,,Not a location,,,,,,,,,,,,,,,,
C000830,1952,1957,"St. Paul, Ramsey County, Minn.",1957,1966,"St. Paul, Minn.",1966.0,1970.0,"St. Paul, Minn.",1970,1973,"Los Angeles, Calif.",1973.0,1977,"Cambridge, Mass.",1977,1978,"(U.S. Court of Appeals, Ninth Circuit)",1978,1982,(private practice),1982,1983,"Cambridge, Mass.",1984,1986,"St. Paul, Minn.",1986,1988,(senior associate counsel to President Ronald Reagan),1989,2005,(Congress),2005.0,2009,(Securities and Exchange Commission),,,,,,,27123,,27123,,27123,,,More than one matched place from Google,25017,,,Not a location,,Not a location,25017,,27123,,,Not a location,,Not a location,,Not a location,,,,
I000026,1951,1965,"Seattle, King County, Wash.",1965,1969,"Seattle, Wash.",1969.0,1970.0,"Stanford, Calif.",1970,1972,"Seattle, Wash.",1972.0,1976,"Salem, Oreg.",1976,1984,"Selah, Wash.",1988,1992,(Washington state house of representatives),1993,1995,(Congress),1997,1998,(United States Department of Health and Human Services),1999,2012,(Congress),2013,present,(Governor of Washington),,,,,,,,,,53033,,53033,,06085,,53033,,41047,,53077,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,
E000179,1947,1965,"Bronx County, N.Y.",1965,1969,"New York, N.Y.",1969.0,1973.0,"New York, N.Y.",1973,1987,"New York, N.Y.",1977.0,1988,(New York state assembly),1989,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,36005,,36061,,36061,,36061,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
G000210,1939,1953,"Tiffin, Seneca County, Ohio",1953,1957,"Old Fort, Ohio",1957.0,1961.0,"Delaware, Ohio",1961,1964,"Ann Arbor, Mich.",1965.0,1966,(United States Air Force),1967,1988,(Ohio state senate),1989,2007,(Congress),2007,,"Arlington, Va.",2007,,"Old Fort, Ohio (interment)",,,,,,,,,,,,,,,,39147,,39147,,39041,,26161,,,Not a location,,Not a location,,Not a location,,More than one matched place from Google,,Not a location,,,,,,,,,,
B001229,1956,1973,"Chama, Rio Arriba County, N.Mex.",1973,1977,"Provo, Utah",1977.0,1984.0,"Laramie, Wyo.",1986,1998,"Tacoma, Wash.",1999.0,2011,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,35039,,49049,,56001,,53053,,,Not a location,,,,,,,,,,,,,,,,,,
R000570,1970,1984,"Janesville, Rock County, Wis.",1984,1988,"Janesville, Wis.",1988.0,1992.0,"Oxford, Ohio",1992,,"(staff, United States Senator Robert Walter Kasten, Jr., of Wisconsin)",1993.0,1995,"(staff assistant, Empower America)",1995,1996,"(staff, United States Representative Sam Dale Brownback of Kansas)",1996,1997,"(staff, United States Senator Sam Dale Brownback of Kansas)",1999,2019,(Congress),,,,,,,,,,,,,,,,,,,55105,,55105,,39017,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
B001230,1962,1976,"Madison, Dane County, Wis.",1976,1980,"Madison, Wis.",1980.0,1984.0,"Northampton, Mass.",1984,1989,"Madison, Wis.",1986.0,1994,"Dane County, Wis.",1993,1999,(Wisconsin state assembly),1999,2013,(Congress),2013,2025,(United States Senate),,,,,,,,,,,,,,,,,,,55025,,55025,,25015,,55025,,55025,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
G000545,1960,1974,"Boston, Suffolk County, Mass.",1974,1978,"De Pere, Wis.",1978.0,1983.0,"Eau Claire, Wis.",1983,1987,"Madison, Wis.",1992.0,1998,(Wisconsin state assembly),1999,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,25025,,55009,,55035,,55025,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
B001234,1947,1965,"Belen, Valencia County, N.Mex.",1966,1968,(United States Army),1968.0,1971.0,"Los Angeles, Calif.",1992,1999,(California state assembly),1999.0,,(California state senate),1999,2013,(Congress),2014,,"Fontana, Calif.",,,,,,,,,,,,,,,,,,,,,,35061,,,Not a location,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,06071,,,,,,,,,,,,,,,
G000544,1945,1961,"San Antonio, Bexar County, Tex.",1961,1965,"San Antonio, Tex.",1965.0,1969.0,"Austin, Tex.",1969,1972,"San Antonio, Tex.",1972.0,1983,"(Texas Air National Guard, lawyer, private practice)",1983,1987,"Bexar County, Tex.",1989,1997,"Bexar County, Tex.",1999,2013,(Congress),,,,,,,,,,,,,,,,,,,48029,,48029,,48453,,48029,,,Not a location,48029,,48029,,,Not a location,,,,,,,,,,,,
L000480,1937,1951,"Bronx County, N.Y.",1951,1955,"Bronx, N.Y.",1955.0,1959.0,"South Hadley, Mass.",1959,1975,"(staff, New York secretary of state for economic development and neighborhood preservation)",1975.0,1985,"(deputy director, New York state division of economic opportunity)",1985,1987,(New York state assistant secretary of state),1989,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,36005,,36005,,25015,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
M000404,1936,1954,"Chicago, Cook County, Ill.",1954,1958,"Wheaton, Ill.",1958.0,1963.0,"Chicago, Ill.",1964,1966,"Chicago, Ill.",1966.0,1968,"Seattle, Wash.",1968,1970,(United States Navy Medical Corps),1970,1983,"Seattle, Wash.",1971,1972,(Washington state house of representatives),1975,1987,(Washington state senate),1987,1988,(United States Foreign Service),1989,2017,(Congress),,,,,,,,,,17031,,17043,,17031,,17031,,53033,,,Not a location,53033,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,
M000590,1947,1965,"Troy, Rensselaer County, N.Y.",1965,1967,"Barrytown, N.Y.",1967.0,1968.0,"Rome, Italy",1968,1969,"Worcester, Mass.",1969.0,1970,New York City,1969,1977,"Green Island, N.Y.",1977,1982,"(staff member, New York state assembly)",1977,1983,"Green Island, N.Y.",1983,1988,(member of the New York state assembly),1989,2009,(Congress),,,,,,,,,,,,,36083,,36027,,,,25027,,36061,,36001,,,Not a location,36001,,,Not a location,,Not a location,,,,,,,,
N000015,1949,1964,"Springfield, Hampden County, Mass.",1964,1968,"Springfield, Mass.",1968.0,1972.0,"Springfield, Mass.",1972,1976,"West Hartford, Conn.",1973.0,1978,"Springfield, Mass.",1978,1984,"Springfield, Mass.",1984,1988,"Springfield, Mass.",1989,present,(Congress),,,,,,,,,,,,,,,,,,,25013,,25013,,25013,,09003,,25013,,25013,,25013,,,Not a location,,,,,,,,,,,,
P000149,1934,1952,"Newark, Essex County, N.J.",1952,1957,"South Orange, N.J.",1970.0,1973.0,"(president, Young Men's Christian Association of the United States (YMCA))",1972,1978,"Essex County, N.J.",1982.0,1988,"Newark, N.J.",2003,2004,"Essex County, N.J.",1989,2012,(Congress),2012,,"Livingston, N.J.",2012,,"Bloomfield, N.J. (interment)",,,,,,,,,,,,,,,,34013,,34013,,,Not a location,34013,,34013,,34013,,,Not a location,34013,,,Not a location,,,,,,,,,,
R000409,1947,1961,"Coronado, San Diego County, Calif.",1961,1965,"Palos Verdes Estates, Calif.",1965.0,1967.0,"Los Angeles, Calif.",1967,1969,"Long Beach, Calif.",1969.0,1971,"Los Angeles, Calif.",1971,1981,(assistant press secretary to the Ronald Reagan presidential campaigns),1981,1988,(special assistant to President Ronald Reagan),1989,2019,(Congress),,,,,,,,,,,,,,,,,,,06073,,06037,,,More than one matched place from Google,06037,,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
S000822,1941,1952,"Washington, D.C.",1952,1959,"Washington, D.C.",1959.0,1963.0,"Washington, D.C.",1963,1965,"Los Angeles, Calif.",1965.0,1967,(United States Air Force),1967,1989,(businessman),1989,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,11001,,11001,,11001,,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
T000038,1944,1960,"Halls, Lauderdale County, Tenn.",1960,1962,"Union City, Tenn.",1962.0,1966.0,"Knoxville, Tenn.",1966,1968,"Knoxville, Tenn.",1968.0,1972,(United States Navy),1974,2000,(Tennessee Army National Guard),1976,1986,(Tennessee state house of representatives),1989,2011,(Congress),,,,,,,,,,,,,,,,,,,47097,,47131,,47093,,47093,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
W000099,1947,1962,"Syracuse, Onondaga County, N.Y.",1962,1966,"Syracuse, N.Y.",1966.0,1970.0,"St. Bonaventure, N.Y.",1970,1972,(United States Peace Corps),1972.0,1977,"Syracuse, N.Y.",1977,1988,"Syracuse, N.Y.",1989,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,36067,,36067,,36009,,,Not a location,36067,,36067,,,Not a location,,,,,,,,,,,,,,
R000435,1952,1960,"Havana, Cuba",1960,1970,"Miami, Fla.",1970.0,1972.0,"Miami, Fla.",1972,1975,"Miami, Fla.",1982.0,1986,(Florida state house of representatives),1986,1989,(Florida state senate),1989,2019,(Congress),,,,,,,,,,,,,,,,,,,,,,,,12086,,12086,,12086,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
T000074,1953,1967,"New Orleans, Orleans Parish, La.",1967,1971,"New Orleans, La.",1971.0,1976.0,"New Orleans, La.",1976,1981,"Hattiesburg, Miss.",1981.0,1983,"Bay St. Louis, Miss.",1984,1989,(Mississippi state senate),1989,2011,(Congress),2012,Present,"Hancock County, Miss.",,,,,,,,,,,,,,,,,,,22071,,22071,,22071,,28035,,28045,,,Not a location,,Not a location,28045,,,,,,,,,,,,,
F000444,1962,1980,"Snowflake, Navajo County, Ariz.",1980,1986,"Provo, Utah",1986.0,1987.0,"Provo, Utah",2001,2013,(Congress),2013.0,2019,(Senate),,,,,,,,,,,,,,,,,,,,,,,,,,,,04017,,49049,,49049,,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
B001236,1950,1966,"Shreveport, La.",1966,1969,"Fort Smith, Ark.",1969.0,1972.0,"Fayetteville, Ark.",1972,1977,(Southern College of Optometry),1977.0,2001,"Rogers, Ark.",2001,2011,(Congress),2011,2029,(Senate),,,,,,,,,,,,,,,,,,,,,,22017,,05131,,05143,,47157,,05007,,,Not a location,,Not a location,,,,,,,,,,,,,,
R000573,1961,1977,"Texarkana, Miller County, Ark.",1977,1983,"Hope, Ark.",1983.0,1987.0,"Little Rock, Ark.",1985,1989,"(staff, office of Lt. Governor of Arkansas)",1991.0,2000,(member of the Arkansas state senate),2001,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,05091,,05057,,05119,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
H001034,1941,1955,"Walnut Grove, Solano County, Calif.",1955,1959,"San Jose, Calif.",1959.0,1968.0,"San Jose, Calif.",1965,1967,(United States Peace Corps),1968.0,1974,"San Jose, Calif.",1971,1981,"San Jose, Calif.",1981,1990,"San Jose, Calif.",1990,1996,"Santa Clara County, Calif.",1997,2000,(California state assembly),2001,2017,(Congress),,,,,,,,,,,,,06095,,06085,,06085,,,Not a location,06085,,06085,,06085,,06085,,,Not a location,,Not a location,,,,,,,,
S001150,1960,1974,"Framingham, Middlesex County, Mass.",1974,1978,"Danville, Calif.",1978.0,1982.0,"Stanford, Calif.",1982,1985,"Cambridge, Mass.",1987.0,1993,(Office of the United States Attorney for the Central District of California),1996,2001,(California state senate),2001,present,(Congress),,,,,,,,,,,,,,,,,,,,,,25017,,06013,,06085,,25017,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
S001153,1957,1975,"Los Angeles, Los Angeles County, Calif.",1975,1979,"Pomona, Calif.",1979.0,1981.0,"Los Angeles, Calif.",1981,1985,"(White House Office of Hispanic Affairs; analyst, Office of Management and Budget)",1985.0,1992,"Rio Hondo, Calif.",1992,1994,(California state assembly),1994,2001,(California state senate),2001,2009,(Congress),2009,2013,(Secretary of Labor in the Cabinet of President Barack Obama),2014,present,"Los Angeles County, Calif.",,,,,,,,,,,,,06037,,06037,,,More than one matched place from Google,,Not a location,06037,,,Not a location,,Not a location,,Not a location,,Not a location,06037,,,,,,,,,
W000794,1933,1951,"Los Angeles, Los Angeles County, Calif.",1951,1956,"Los Angeles, Calif.",1956.0,1967.0,"Los Angeles, Calif.",1967,1987,"Los Angeles, Calif.",1987.0,1998,"Claremont, Calif.",1969,1971,"Los Angeles, Calif.",1971,1973,"(Bureau of Industrial Education, California Department of Education)",1975,1978,"Los Angeles, Calif.",1978,1998,(California state senate),1999,2000,(United States Ambassador to the Federated States of Micronesia),2001,2011,(Congress),,,,,,,,,,06037,,,More than one matched place from Google,,More than one matched place from Google,,More than one matched place from Google,,More than one matched place from Google,,More than one matched place from Google,,Not a location,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,,,,,
I000056,1953,1970,"Cleveland, Cuyahoga County, Ohio",1970,1976,"Adrian, Mich.",1976.0,1980.0,(United States Army),1980,2001,(business owner),2001.0,2019,(Congress),2021,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,39035,,26091,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
D000598,1944,1961,"Cambridge, Middlesex County, Mass.",1961,1965,"Berkeley, Calif.",1965.0,1968.0,"Chapel Hill, N.C.",1983,1992,"San Diego, Calif.",1990.0,1994,"San Diego, Calif.",1994,2000,California,2001,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,25017,,06001,,37135,,06073,,06073,,,No county matched to string from Google,,Not a location,,,,,,,,,,,,,,
S001152,1943,1961,"New York, N.Y.",1961,1965,"Haverford, Pa.",1965.0,1968.0,(United States Army),1969,1979,(Central Intelligence Agency),1977.0,1979,"Cambridge, Mass.",1979,1981,(staff for United States Senator John Chafee of Rhode Island),1981,1985,"(staff, Select Committee on Intelligence)",1990,2000,Connecticut,2001,2007,(Congress),,,,,,,,,,,,,,,,36061,,,More than one matched place from Google,,Not a location,,Not a location,25017,,,Not a location,,Not a location,,No county matched to string from Google,,Not a location,,,,,,,,,,
M001144,1959,1977,"Pinellas County, Fla.",1977,1984,"Gainesville, Fla.",1984.0,1998.0,"(real estate broker, location unspecified)",1998,2001,(Florida state house of representatives),2001.0,2017,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,12103,,12001,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
C001045,1944,1960,"Jacksonville, Duval County, Fla.",1960,1962,"Jacksonville, Fla.",1962.0,1966.0,"Athens, Ga.",1966,1969,"Gainesville, Fla.",1972.0,1978,(Florida state house of representatives),1986,1994,(Florida state senate),2001,2017,(Congress),,,,,,,,,,,,,,,,,,,,,,12031,,12031,,13059,,12001,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
K000361,1964,1978,"Johnson City, Washington County, Tenn.",1978,1982,"Orlando, Fla.",1982.0,1986.0,"Johnson City, Tenn.",1986,1992,"Nashville, Tenn.",2001.0,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,47179,,12095,,47179,,,More than one matched place from Google,,Not a location,,,,,,,,,,,,,,,,,,
P000586,1974,1991,"Bartow, Polk County, Fla.",1991,1995,"Gainesville, Fla.",1996.0,2001.0,(Florida state house of representatives),2001,2011,(Congress),2011.0,present,"(Commissioner of Agriculture, Florida Department of Agriculture and Consumer Services)",,,,,,,,,,,,,,,,,,,,,,,,,,,,12105,,12001,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
O000166,1942,1963,"Caldwell, Canyon County, Idaho",1963,1967,"Caldwell, Idaho",1968.0,1973.0,(Idaho Army National Guard),1972,1976,(Idaho state house of representatives),1987.0,2001,(Idaho state lieutenant governor),2001,2007,(Congress),2007,present,(Governor of Idaho),,,,,,,,,,,,,,,,,,,,,,16027,,16027,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
K000360,1959,1977,"Champaign, Champaign County, Ill.",1977,1981,"Ithaca, N.Y.",1981.0,1982.0,"London, England",1982,1992,"Washington, D.C.",1984.0,1990,(staff member for United States Representative John Porter of Illinois),1992,1993,"(special assistant, United States Department of State)",1995,,(staff member for United States House of Representatives International Relations Committee),2001,2010,(Congress),2010,2017,(Senate),,,,,,,,,,,,,,,,17019,,36109,,,,11001,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,
J000285,1946,1964,"Urbana, Champaign County, Ill.",1964,1968,"West Point, N.Y.",1968.0,1972.0,"Champaign, Ill.",1971,1975,"Urbana, Ill.",1976.0,2000,(Illinois state house of representatives),2001,2013,(Congress),2013,2022,"Urbana, Ill.",,,,,,,,,,,,,,,,,,,,,,17019,,36071,,17019,,17019,,,Not a location,,Not a location,17019,,,,,,,,,,,,,,,
P000587,1959,1977,"Columbus, Bartholomew County, Ind.",1977,1981,"Hanover, Ind.",1981.0,1986.0,"Indianapolis, Ind.",2001,2013,(Congress),2013.0,2017,(Governor of Indiana),2017,2021,(Vice President of the United States),,,,,,,,,,,,,,,,,,,,,,,,,18005,,18077,,18097,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
L000562,1955,1973,"Boston, Suffolk County, Mass.",1973,1988,"Boston, Mass.",1988.0,1991.0,"Chestnut Hill, Mass.",1991,1998,"Cambridge, Mass.",1995.0,1996,(Massachusetts state house of representatives),1997,2001,(Massachusetts state senate),2001,Present,(Congress),,,,,,,,,,,,,,,,,,,,,,25025,,25025,,25017,,25017,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
