id,start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,start_15,end_15,location_15,start_16,end_16,location_16,start_17,end_17,location_17,start_18,end_18,location_18
S000480,1929,1947,"Harlan County, Ky.",1947,1953,"Lexington, Ky.",1953,1976,"Somerset, Ky.",1976,1979,"Monroe County, N.Y.",1979-1982,,New York,1982,1986,New York State Assembly,1987,2018,"Congress, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000583,1947,1965,"San Antonio, Bexar County, Tex.",1965,1969,"New Haven, Conn.",1969,1975,"Dallas, Tex.",1975,1981,Private practice,1981-1982,,Texas,1982,1985,"Bexar County, Tex.",1987,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U000031,1953,1969,"St. Joseph, Berrien County, Mich.",1969,1971,"Fairbault, Minn.",1971,1975,"Ann Arbor, Mich.",1975,1980,Michigan (Staff for U.S. Representative David Stockman),1981-1985,,U.S. Office of Management and Budget,1987,2023,Congress (Michigan Representative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000268,1947,1965,"Marcus Hook, Delaware County, Pa.",1965,1969,"West Chester, Pa.",1969,1977,"Marcus Hook, Pa. (as a teacher)",1977,1982,"Marcus Hook, Pa. (as a mayor)",1981-1986,,"Delaware County, Pa.",1987,2007,Congress,2007,2021,Pennsylvania (after unsuccessful reelection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000789,1960,1978,"Keene, Cheshire County, N.H.",1978,1982,"Colorado Springs, Colo.",1982,1985,"Oxford, England",1985,1989,United States Air Force,1989-1991,,National Security Council,1995,1998,New Mexico,1998,2009,Congress,2017,2019,Secretary of the Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001144,1945,1964,"Stamford, Fairfield County, Conn.",1964,1968,"Elsah, Ill.",1968,1970,Peace Corps (Location not specified),1970,1974,"New York, N.Y.",1974-1978,,"New York, N.Y.",1971,1972,"Trumbull, Conn.",1975,1987,Connecticut,1987,2009,Congress,2009,2012,(Unsuccessful campaigns),2012,Present,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,
P000197,1940,1958,"Baltimore, Md.",1958,1962,Trinity College,1962,1981,California,1981,1983,"Chair, California state Democratic Party",1985-1986,,"Finance chairman, Democratic Senatorial Campaign Committee",1987,Present,"United States Congress, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M000388,1949,1967,"Shreveport, Caddo Parish, La.",1967,1971,"Ruston, La.",1971,1975,"Shreveport, La.",1975,1979,Private practice,1979-1980,,"Shreveport, La.",1981,1988,Louisiana,1988,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000794,1949,1968,"East St. Louis, St. Clair County, Ill.",1968,1970,"Belleville, Ill.",1970,1972,"St. Louis, Mo.",1972,1980,"St. Clair County, Ill.",1980-1988,,"St. Clair County, Ill.",1988,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000034,1951,1969,"Long Branch, Monmouth County, N.J.",1969,1973,"Middlebury, Vt.",1973,1974,"Medford, Mass.",1974,1978,"Camden, N.J.",1978-1982,,Private practice,1982,1988,"Long Branch, N.J.",1983,1988,New Jersey,1988,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D000533,1947,1965,"Lebanon, Wilson County, Tenn.",1965,1969,"Knoxville, Tenn.",1969,1973,"Washington, D.C.",1973,1981,Private practice,1981-1988,,"Knox County, Tenn.",1988,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000460,1951,1969,"St. Helena, Napa County, Calif.",1969,1972,(U.S. Army),1972,1982,"Chico, Calif.",1982,1983,California State Assembly,1983-1990,,"Chico, Calif.",1990,1998,California State Senate,1999,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N000179,1936,1954,"Brownsville, Cameron County, Tex.",1954,1956,"Norwalk, Calif.",1956,1958,"Brownsville, Tex.",1958,1986,"Norwalk, Calif.",1986-1990,,"Norwalk, Calif. (City Council)",1989,1990,"Norwalk, Calif. (Mayor)",1992,1998,California (State Assembly),1999,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001139,1948,1966,"Huntsville, Madison County, Ark.",1966,1967,"Whittier, Calif.",1967,1968,"La Habra, Calif.",1968,1969,"Walnut, Calif.",1969-1988,,(U.S. Army),1988,1992,"Diamond Bar, Calif.",1992,1995,"Diamond Bar, Calif. (Mayor)",1995,1999,California,1999,2015,Congress,2015,Present,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
U000038,1950,1968,"Tucson, Pima County, Ariz.",1968,1972,"Williamstown, Mass.",1972,1974,(Campaign coordinator),1974,1985,Various locations (Outward Bound),1985-1995,,Colorado,1996,1998,Colorado State House,1999,2009,U.S. Congress,2009,2015,U.S. Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000458,1945,1964,"Denver, Denver County, Colo.",1964,1968,"Greeley, Colo.",1968,1976,"Broomfield, Colo.",1976,1981,Colorado State Legislature,1981-1992,,Secretary of Education Regional Representative,1999,2009,Congress,2008,2014,Colorado (Various political campaigns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L000557,1948,1967,"Hartford, Hartford County, Conn.",1967,1971,"New Britain, Conn.",1971,1977,"East Hartford, Conn.",1977,1979,"East Hartford, Conn.",1979-1983,,"East Hartford, Conn.",1983,1986,"New Haven, Conn.",1986,1998,Connecticut State Senate,1999,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001148,1950,1968,"Burley, Cassia County, Idaho",1968,1972,"Logan, Utah",1972,1978,"St. Louis, Mo.",1978,1984,Idaho (as a dentist),1984-1998,,Idaho (as a member of the Idaho state house of representatives),1999,present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001145,1944,1962,"Chicago, Cook County, Ill.",1962,1965,"Urbana-Champaign, Ill.",1965,1985,"Chicago, Cook County, Ill.",1985,1990,Illinois,1990-1998,,Illinois,1999,present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001232,1937,1955,"Chicago, Cook County, Ill.",1955,1959,"Stanford, Calif.",1959,1963,"Evanston, Ill.",1963,1964,"U.S. Court of Appeals, 7th Circuit",1983-1986,,"Hinsdale Township, Ill.",1993,1998,Illinois,1999,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001140,1945,1963,"Anthony, Harper County, Kans.",1963,1967,"Lawrence, Kans.",1967,1970,"Topeka, Kans.",1970,1973,United States Army Reserve,1971-1973,,Kansas,1977,1989,"Johnson County, Kans.",1993,1999,"Johnson County, Kans.",1999,2011,Congress,2011,2021,"Overland Park, Kans.",,,,,,,,,,,,,,,,,,,,,,,,,,,
C001037,1952,1969,"Somerville, Middlesex County, Mass.",1969,1973,"Hanover, N.H.",1973,1977,"Chestnut Hill, Mass.",1977,1984,Massachusetts state legislature,1977-1979,,"Somerville, Mass.",1985,1989,"Somerville, Mass.",1990,1998,"Somerville, Mass.",1996,1998,Massachusetts,1999,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000459,1962,1980,"Omaha, Douglas County, Nebr.",1980,1984,"Lincoln, Nebr.",1984,1987,"Omaha, Nebr.",1987,1991,"Omaha, Nebr. (Private Practice)",1991-1998,,"Omaha, Nebr. (City Council)",1999,2015,Congress,2015,Present,"Omaha, Nebr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001231,1951,1969,"New York, N.Y.",1969,1972,"Las Vegas, Nev.",1972,1976,"San Diego, Calif.",1976,1983,Nevada,1983-1985,,Nevada State Assembly,1990,1998,Nevada University and Community College System Board of Regents,1999,2013,Congress,2013,,Ran for U.S. Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H001032,1948,1966,"Bethesda, Md.",1966,1970,"Northfield, Minn.",1970,1981,"New York, N.Y.",1982,1983,Office of Representative Bob Edgar of Pennsylvania,1980-1988,,"Swarthmore, Pa.",1987,1989,"Office of Strategic Forces, United States Department of State",1989,1997,Princeton Plasma Physics Laboratory,1999,2015,Congress,2013,,(Unsuccessful candidate for nomination for the United States Senate),,,,,,,,,,,,,,,,,,,,,,,,,,,
U000039,1948,1966,"Tucson, Pima County, Ariz.",1966,1970,"Prescott, Ariz.",1970,1975,"Cambridge, England",1975,1977,"Albuquerque, N.M.",1978-1981,,New Mexico (as Assistant U.S. Attorney),1981,1990,New Mexico (as Chief Counsel to the NM Department of Health and Environment),1990,1998,New Mexico (as Attorney General),1999,2009,Congress,2009,2021,Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001038,1962,1981,"New York, New York County, N.Y.",1981,1985,"Flushing, N.Y.",1986,1998,New York state assembly,1999,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000792,1964,1982,"New York City, N.Y.",1982,1985,"Plattsburgh, N.Y.",1985,1991,"New York City, N.Y. (staff for Charles Schumer)",1992,1998,"New York City, N.Y. (city council)",1999-2011,,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001149,1955,1973,"Troy, Rensselaer County, N.Y.",1973,1981,"Troy, N.Y.",1981,1990,"Springfield, Mass.",1990,1999,New York (as state commissioner of Labor),1999-2007,,Congress,2007,Current,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000569,1950,1968,"Belfonte, Centre County, Pa.",1968,1970,"Springville, N.Y.",1970,1972,"Kent, Ohio",1970,1976,New York National Guard,1974-1982,,"Concord, N.Y.",1982,1988,"Erie County, N.Y.",1988,1998,New York state assembly,1999,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H001029,1945,1963,"Concord, Cabarrus County, N.C.",1963,1967,"Durham, N.C.",1967,1978,"Concord, N.C.",1978,1992,"Concord, N.C.",1992-1996,,North Carolina,1996,1999,North Carolina,1999,2009,Congress,2009,2020,North Carolina,2020,2021,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000284,1949,1967,"Cleveland, Cuyahoga County, Ohio",1967,1971,"Case Western Reserve University, Cleveland, Ohio",1971,1974,"Case Western Reserve University, Cleveland, Ohio",1974,1981,"Cleveland, Ohio",1981-1983,,"Cleveland, Ohio, municipal court",1983,1991,"Court of Common Pleas of Cuyahoga County, Ohio",1991,1998,"Cuyahoga County, Ohio",1999,2008,Congress,2008,,"Cleveland, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,
W000793,1955,1973,Taiwan,1973,1977,"Stanford, Calif.",1977,1982,"Cambridge, Mass. / New Haven, Conn.",1982,1999,Private practice,1999-2011,,"Congress, Oregon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000791,1957,1975,"The Dalles, Wasco County, Ore.",1975,1981,"Eugene, Ore.",1981,1989,Oregon,1989,1995,Oregon State House of Representatives,1995-1997,,Oregon State Senate,1999,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001146,1941,1959,"Nicholson, Wyoming County, Pa.",1959,1963,"Hanover, N.H.",1963,1965,(U.S. Army),1965,1975,"Tunkhannock Area, Pa.",1975-1998,,"Tunkhannock Area, Pa.",1999,2007,Congress,2016,,(Republican National Convention),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000830,1952,1957,"St. Paul, Ramsey County, Minn.",1957,1966,"St. Gregory's School, St. Paul, Minn.",1966,1970,"St. Thomas Academy, St. Paul, Minn.",1970,1973,"Los Angeles, Calif.",1973-1977,,"Cambridge, Mass.",1977,1978,"U.S. Court of Appeals, Ninth Circuit",1978,1982,Private practice,1982,1983,"Harvard Business School, Cambridge, Mass.",1984,1986,"St. Paul, Minn.",1986,1988,"White House, Washington D.C.",1989,2005,Congress,2005,2009,"Securities and Exchange Commission, Washington D.C.",,,,,,,,,,,,,,,,,,
I000026,1951,1969,"Seattle, King County, Wash.",1969,1970,"Stanford, Calif.",1970,1972,"Seattle, Wash.",1972,1976,"Salem, Oreg.",1976-1984,,"Selah, Wash.",1988,1992,Washington state,1993,1995,Congress,1997,1998,United States Department of Health and Human Services,1999,2012,Congress,2013,present,Governor of Washington,,,,,,,,,,,,,,,,,,,,,,,,
E000179,1947,1965,"Bronx County, N.Y.",1965,1969,"New York, N.Y. (Hunter-Lehman College)",1969,1973,"New York, N.Y. (Herbert H. Lehman College)",1973,1987,"New York, N.Y. (New York Law School)",1977-1988,,New York state assembly,1989,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000210,1939,1957,"Tiffin, Seneca County, Ohio",1957,1961,"Delaware, Ohio",1961,1964,"Ann Arbor, Mich.",1965,1966,(U.S. Air Force),1967-1988,,Ohio State Senate,1989,2007,Congress,2007,,"Arlington, Va.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001229,1956,1973,"Chama, Rio Arriba County, N.Mex.",1973,1977,"Provo, Utah",1977,1984,"Laramie, Wyo.",1984,1998,"Tacoma, Wash.",1999-2011,,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000570,1970,1988,"Janesville, Rock County, Wis.",1988,1992,"Oxford, Ohio",1992,1993,"Staff for Senator Robert Walter Kasten, Jr.",1993,1995,"Staff assistant, Empower America",1995-1997,,Staff for Representative and Senator Sam Dale Brownback,1999,2019,Congress,2012,,Vice Presidential Candidate,2014,2019,Speaker of the House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001230,1962,1980,"Madison, Dane County, Wis.",1980,1984,"Northampton, Mass.",1984,1989,"Madison, Wis.",1989,1999,"Private practice, Dane County, Wis.",1993-1999,,Wisconsin State Assembly,1999,2013,Congress,2013,2025,United States Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000545,1960,1978,"Boston, Suffolk County, Mass.",1978,1983,"Eau Claire, Wis.",1983,1987,"Madison, Wis.",1987,1992,Private practice,1992-1998,,Wisconsin,1999,2007,Congress,2006,,Candidate for Governor of Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001234,1947,1966,"Belen, Valencia County, N.Mex.",1966,1968,United States Army,1968,1971,"Los Angeles, Calif.",1971,1992,California,1992-1999,,California State Assembly,1999,,California State Senate,1999,2013,Congress,2014,,"Fontana, Calif.",2016,2018,Attempted nominations to Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000544,1945,1965,"San Antonio, Bexar County, Tex.",1965,1969,"Austin, Tex.",1969,1972,"San Antonio, Tex.",1972,1983,Private practice,1983-1987,,"Bexar County, Tex.",1989,1997,"Bexar County, Tex.",1999,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L000480,1937,1955,"Bronx County, N.Y.",1955,1959,"South Hadley, Mass.",1959,1975,"New York, N.Y.",1975,1987,New York State Division of Economic Opportunity,1987-1989,,New York State Assistant Secretary of State,1989,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M000404,1936,1954,"Chicago, Cook County, Ill.",1954,1958,"Wheaton, Ill.",1958,1963,"Chicago, Ill.",1964,1966,"Chicago, Ill.",1966-1968,,"Seattle, Wash.",1968,1970,(U.S. Navy Medical Corps),1970,1983,"Seattle, Wash.",1971,1972,Washington State House of Representatives,1975,1987,Washington State Senate,1987,1988,(U.S. Foreign Service),1989,2017,Congress,,,,,,,,,,,,,,,,,,,,,
M000590,1947,1965,"Troy, Rensselaer County, N.Y.",1965,1967,"Barrytown, N.Y.",1967,1968,"Rome, Italy",1968,1969,"Worcester, Mass.",1969-1970,,New York City,1969,1977,"Green Island, N.Y.",1977,1982,New York state assembly,1977,1983,"Green Island, N.Y.",1983,1988,New York state assembly,1989,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,
N000015,1949,1968,"Springfield, Hampden County, Mass.",1968,1972,"Springfield, Mass.",1972,1976,"West Hartford, Conn.",1973,1978,"Springfield, Mass.",1978-1984,,"Springfield, Mass.",1984,1988,"Springfield, Mass.",1989,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000149,1934,1952,"Newark, Essex County, N.J.",1952,1957,"South Orange, N.J.",1957,1970,"Newark, N.J. (Teacher and Insurance Executive)",1970,1973,"YMCA, U.S. (Location not specified)",1972-1978,,"Essex County, N.J.",1982,1988,"Newark, N.J.",2003,2004,"Essex County, N.J.",1989,2012,Congress,2012,,"Livingston, N.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,
R000409,1947,1965,"Coronado, San Diego County, Calif.",1965,1967,"Los Angeles, Calif.",1967,1969,"Long Beach, Calif.",1969,1971,"Los Angeles, Calif.",1971-1981,,Various locations (Reagan presidential campaigns),1981,1988,Washington D.C. (White House),1989,2019,Congress,2019,Present,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000822,1941,1959,"Washington, D.C.",1959,1963,"Washington, D.C.",1963,1965,"Los Angeles, Calif.",1965,1967,(United States Air Force),1967-1989,,Businessman (Location not specified),1989,2013,Florida (Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000038,1944,1962,"Halls, Lauderdale County, Tenn.",1962,1968,"Knoxville, Tenn.",1968,1972,(U.S. Navy),1972,1974,"Knoxville, Tenn.",1974-2000,,(Tennessee Army National Guard),1976,1986,Tennessee,1989,2011,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000099,1947,1966,"Syracuse, Onondaga County, N.Y.",1966,1970,"St. Bonaventure, N.Y.",1970,1972,(Peace Corps),1972,1977,"Syracuse, N.Y.",1977-1985,,"Syracuse, N.Y.",1985,1988,"Syracuse, N.Y.",1989,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000435,1952,1960,"Havana, Cuba",1960,1972,"Miami, Fla.",1972,1975,"Miami, Fla.",1975,1987,"Miami, Fla.",1987-2004,,"Coral Gables, Fla.",1982,1986,Florida State House of Representatives,1986,1989,Florida State Senate,1989,2019,U.S. Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000074,1953,1971,"New Orleans, Orleans Parish, La.",1971,1976,"Tulane University, New Orleans, La.",1976,1981,"Hattiesburg, Miss.",1971,1984,United States Coast Guard Reserve,1981-1983,,"Bay St. Louis, Miss.",1984,1989,Mississippi state senate,1989,2011,Congress,2012,Present,"Hancock County, Miss.",2014,Present,"Bay St. Louis, Miss.",,,,,,,,,,,,,,,,,,,,,,,,,,,
F000444,1962,1980,"Snowflake, Navajo County, Ariz.",1980,1987,"Provo, Utah",1987,2001,Unknown,2001,2013,Congress,2013-2019,,Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001236,1950,1968,"Shreveport, La.",1968,1972,"Fort Smith, Ark.",1972,1977,"Fayetteville, Ark.",1977,2001,"Optometrist, business owner, rancher",2001-2011,,"Rogers, Ark.",2011,2029,United States Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000573,1961,1979,"Texarkana, Miller County, Ark.",1979,1983,"Hope, Ark.",1983,1987,"Little Rock, Ark.",1985,1989,Office of Lt. Governor of Arkansas,1991-2000,,Arkansas State Senate,2001,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H001034,1941,1959,"Walnut Grove, Solano County, Calif.",1959,1968,"San Jose, Calif.",1968,1974,"San Jose, Calif.",1974,1981,"San Jose, Calif.",1981-1990,,"San Jose, Calif.",1990,1996,"Santa Clara County, Calif.",1997,2000,California,2001,2017,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001150,1960,1974,"Framingham, Middlesex County, Mass.",1974,1978,"Danville, Calif.",1978,1982,"Stanford, Calif.",1982,1985,"Cambridge, Mass.",1985-1987,,Private practice,1987,1993,Central District of California,1994,1996,California,1996,2001,California state senate,2001,Present,"Congress, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
S001153,1957,1975,"Los Angeles, Los Angeles County, Calif.",1975,1979,"Pomona, Calif.",1979,1981,"Los Angeles, Calif.",1981,1985,White House Office of Hispanic Affairs; Office of Management and Budget,1985-1992,,"Rio Hondo, Calif.",1992,1994,California State Assembly,1994,2001,California State Senate,2001,2009,Congress,2009,2013,Secretary of Labor in the Cabinet of President Barack Obama,2014,Present,"Los Angeles County, Calif.",,,,,,,,,,,,,,,,,,,,,,,,
W000794,1933,1951,"Los Angeles, Los Angeles County, Calif.",1951,1956,"University of California, Los Angeles, Calif.",1956,1967,"Los Angeles, Calif.",1967,1969,"California State University, Los Angeles, Calif.",1969-1971,,"California State University, Los Angeles, Calif.",1971,1973,"Bureau of Industrial Education, California Department of Education",1975,1978,"Los Angeles, Calif.",1978,1998,California,1999,2000,Federated States of Micronesia,2001,2011,Congress,,,,,,,,,,,,,,,,,,,,,,,,
I000056,1953,1970,"Cleveland, Cuyahoga County, Ohio",1970,1976,"Adrian, Mich.",1976,1980,United States Army,1980,2001,Business owner,2001-2019,,Congress,2019,2021,Not in Congress,2021,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D000598,1944,1961,"Cambridge, Middlesex County, Mass.",1961,1965,"Berkeley, Calif.",1965,1968,"Chapel Hill, N.C.",1968,1983,"San Diego, Calif.",1983-1992,,"San Diego, Calif. (Board of Education)",1990,1994,"San Diego, Calif. (Aaron Price Fellows)",1994,2000,California (State Assembly),2001,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001152,1943,1961,"New York, N.Y.",1961,1965,"Haverford, Pa.",1965,1968,United States Army,1969,1979,Central Intelligence Agency,1979-1981,,Rhode Island,1981,1985,Select Committee on Intelligence,1990,2000,Connecticut,2001,2007,Congress,2007,Present,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001144,1959,1980,"Pinellas County, Fla.",1980,1984,"Gainesville, Fla.",1984,1998,"Gilchrist County, Fla.",1998,2001,Florida,2001-2017,,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001045,1944,1962,"Jacksonville, Duval County, Fla.",1962,1966,"Athens, Ga.",1966,1969,"Gainesville, Fla.",1969,1972,"Jacksonville, Fla. (Assumed based on next known location)",1972-1978,,Florida State House of Representatives,1978,1986,"Jacksonville, Fla. (Assumed based on next known location)",1986,1994,Florida State Senate,1994,2001,"Jacksonville, Fla. (Assumed based on next known location)",2001,2017,Congress,2017,Present,"Jacksonville, Fla. (Assumed based on last known location)",,,,,,,,,,,,,,,,,,,,,,,,
K000361,1964,1982,"Orlando, Fla.",1982,1986,"Johnson City, Tenn.",1986,1992,"Nashville, Tenn.",1992,2001,Private practice,2001-2009,,Congress,2009,Present,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000586,1974,1992,"Bartow, Polk County, Fla.",1992,1995,"Gainesville, Fla.",1995,1996,"Bartow, Polk County, Fla. (Farmer, Rancher)",1996,2001,Florida (State House of Representatives),2001-2011,,Congress,2011,Present,Florida (Commissioner of Agriculture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O000166,1942,1967,"Caldwell, Canyon County, Idaho",1968,1973,Idaho Army National Guard,1972,1976,Idaho State House of Representatives,1987,2001,Idaho State Lieutenant Governor,2001-2007,,Congress,2007,Present,Governor of Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000360,1959,1977,"Champaign, Champaign County, Ill.",1977,1981,"Ithaca, N.Y.",1981,1982,"London, England",1982,1992,"Washington, D.C.",1989-Present,,United States Naval Reserves,1992,1993,United States Department of State,1995,,United States House of Representatives International Relations Committee,2001,2010,United States House of Representatives,2010,2017,United States Senate,2017,Present,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
J000285,1946,1964,"Urbana, Champaign County, Ill.",1964,1965,"West Point, N.Y.",1965,1969,"Champaign, Ill.",1969,1972,"Champaign, Ill.",1972-2022,,"Urbana, Ill.",1971,1975,"Urbana, Ill.",1976,2000,Illinois,2001,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000587,1959,1977,"Columbus, Bartholomew County, Ind.",1977,1981,"Hanover, Ind.",1981,1986,"Indianapolis, Ind.",1986,2000,Indiana (various locations),2001-2013,,Congress,2013,2017,Indiana (as Governor),2017,2021,Vice President of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L000562,1955,1973,"Boston, Suffolk County, Mass.",1973,1988,"Boston, Mass.",1988,1991,"Chestnut Hill, Mass.",1991,1998,"Boston, Mass.",1998-2001,,"Cambridge, Mass.",1995,1996,Massachusetts State House,1997,2001,Massachusetts State Senate,2001,Present,U.S. Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000572,1963,1981,"Livingston County, Mich.",1981,1985,"Adrian, Mich.",1985,1989,United States Army,1989,1994,Federal Bureau of Investigation,1995-2000,,Michigan state senate,2001,2015,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000358,1957,1975,"Benson, Swift County, Minn.",1975,1979,"Collegeville, Minn.",1979,1983,"Ann Arbor, Mich.",1983,2001,(Unknown),2001-2007,,Congress,2006,,(Candidate for U.S. Senate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001143,1954,1972,"Minneapolis, Hennepin County, Minn.",1972,1980,"St. Paul, Minn.",1980,1987,"Inver Grove Heights, Minn.",1987,1992,"St. Paul, Minn.",1992-2001,,Minnesota,2001,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A000358,1947,1965,"New York, N.Y.",1965,1971,"Worcester, Mass.",1971,1980,United States Army,1980,1984,"St. Louis, Mo.",1984-1988,,"St. Louis, Mo.",1988,2001,Missouri,2001,2013,Congress,2013,2021,"Wildwood, Mo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000546,1963,1982,"Tarkio, Atchison County, Mo.",1982,1986,"Columbia, Mo.",1992,1994,Missouri State House of Representatives,1994,2000,Missouri State Senate,2001-Present,,U.S. Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000571,1955,1973,"Billings, Yellowstone County, Mont.",1973,1974,"Montana State University, Billings, Mont.",1974,1977,"Pullman, Wash.",1977,1979,Rancher,1979-1982,,"Staff, United States Representative Ron Marlenee of Montana",1984,1991,Montana state house of representatives,1991,1996,Montana lieutenant governor,2001,2013,Congress,2013,Present,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,
O000165,1937,1955,"Hastings, Adams County, Nebr.",1955,1959,"Hastings, Nebr.",1959,1965,"Lincoln, Nebr.",1960,1966,Nebraska Army National Guard,1972-1997,,University of Nebraska,2001,2007,Congress,2006,,Nebraska (Governor Nomination),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000443,1970,1988,"Ridgewood, Bergen County, N.J.",1988,1992,"Notre Dame, Ind.",1992,1994,"Washington, D.C.",2001,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
